"ID_REF","non_pulsed_196","non_pulsed_198","non_pulsed_201","pulsed_200","pulsed_203","pulsed_205"
"1391392_at",8.057941437,8.295804977,8.050914764,8.18906498,8.134847641,8.277668953
"1391393_at",9.943182945,10.24015903,10.17100525,10.48210144,10.29771709,10.23261738
"1391394_s_at",8.023159027,6.534808636,7.613735676,6.972945213,7.252717495,7.884112835
"1391395_at",4.579350471,5.097981453,4.175468922,4.845650673,4.871658325,4.768746853
"1391396_at",5.113239765,4.491165638,4.619524479,5.135682106,5.015186787,4.798708916
"1391397_at",3.37836647,3.37754631,3.321928024,3.462341785,3.378992558,3.512320995
"1391398_at",5.273645401,6.02882719,5.556558132,5.869008064,6.12634182,5.825793266
"1391399_at",4.630759716,4.091822624,4.427046299,4.687607288,4.607119083,4.533857822
"1391400_at",4.795473099,5.840491772,5.35656929,5.765514851,5.715285301,5.350112438
"1391401_at",6.062410831,6.783092022,5.872790337,6.034531593,6.472724915,6.524821758
"1391402_at",4.957577229,4.477331161,4.742721081,4.505331516,5.137211323,4.905655384
"1391403_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391404_at",4.164992332,3.913195372,4.237368584,4.253137112,4.351628304,3.932438374
"1391405_at",7.15320015,7.226440907,7.16880846,7.111381054,6.870792866,6.979578495
"1391406_at",9.699747086,9.584466934,9.892321587,9.697804451,9.618916512,9.718582153
"1391407_at",6.253602505,6.578710556,6.40257597,6.480174065,6.368473053,6.590363503
"1391408_a_at",7.970297813,7.766602516,7.952276707,7.872373581,8.013475418,7.929696083
"1391409_at",5.620508194,5.928486824,5.724520683,5.53524065,5.702768326,5.915360451
"1391410_at",9.607777596,10.1203661,9.911089897,9.857066154,10.05618858,10.00799465
"1391411_at",9.277001381,8.491548538,8.348542213,8.2203722,8.485778809,9.004459381
"1391412_at",9.914616585,9.748890877,9.796912193,9.762265205,9.77186203,9.599212646
"1391413_at",5.471066475,5.495684624,5.232599735,5.063012123,5.688835621,6.039561749
"1391414_at",7.085022926,7.121910095,7.468642712,7.529368401,7.64625597,7.721418858
"1391415_at",9.314606667,9.323031425,9.35579586,9.728283882,9.471514702,8.837528229
"1391416_at",9.185728073,9.555796623,9.810101509,10.05021286,9.848210335,9.947607994
"1391417_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391418_at",6.743238449,7.084878922,7.031130314,6.737466335,6.394672871,6.964600563
"1391419_at",7.781525135,8.013328552,7.777015209,8.122071266,8.113240242,8.566967964
"1391420_at",4.649055004,5.394551277,5.507200718,5.679211617,5.72885704,5.12223196
"1391421_at",7.975097656,8.265806198,8.437088013,8.623637199,8.872226715,8.821770668
"1391422_at",8.271303177,8.813715935,8.788558006,8.813500404,8.773530006,9.040291786
"1391423_at",7.191002369,8.587978363,8.137657166,8.439171791,8.408093452,8.387741089
"1391424_at",4.87689209,4.832470894,4.580503464,3.718913555,3.664678335,3.446621895
"1391425_at",6.375190258,6.047730923,6.647275448,6.782351971,6.667114258,6.766440868
"1391426_a_at",9.713116646,9.619860649,9.791999817,9.688702583,9.752487183,9.712182045
"1391427_at",8.570091248,8.043931961,8.546269417,8.739175797,8.560324669,7.977878094
"1391428_at",8.618032455,7.052471161,7.183231354,6.029639244,7.463657856,8.758381844
"1391429_at",5.228285313,6.718039036,6.554624081,7.681330681,8.43286705,8.861769676
"1391430_at",6.121097565,5.465779781,5.762481213,5.659983158,5.839290142,6.073460579
"1391431_at",8.183861732,8.60451889,8.32576561,8.269592285,8.746464729,8.753436089
"1391432_at",8.873233795,8.601516724,8.681649208,9.015503883,8.851247787,8.373353004
"1391433_at",9.153574944,9.896475792,9.586503029,10.87876797,10.86097527,10.23040581
"1391434_at",7.5242486,8.06457901,8.065257072,8.777322769,8.439008713,8.957316399
"1391435_at",9.113262177,7.755020618,8.473264694,7.692505836,8.378479958,9.447042465
"1391436_at",7.267969608,7.766638756,7.430520058,7.248317242,7.22463131,7.890346527
"1391437_at",7.973081112,8.205388069,8.360912323,8.576334,8.239809036,8.183412552
"1391438_at",8.311565399,8.132381439,8.132719994,7.897471428,7.899799824,8.112780571
"1391439_at",7.842381477,8.676502228,8.25722599,8.927970886,8.528594017,9.061573029
"1391440_at",8.164177895,8.364173889,8.239157677,8.342243195,8.15106678,7.849824905
"1391441_at",7.498464584,7.350076199,7.702151299,7.903672218,7.505684376,7.154003143
"1391442_at",7.543470383,6.485029697,6.451961994,6.373397827,6.873245239,7.892709255
"1391443_at",8.621575356,9.063761711,9.168456078,9.558148384,9.370981216,9.430716515
"1391444_at",5.4258008,4.198631287,4.354306698,4.699000359,4.994500637,5.508486271
"1391445_at",6.399470329,6.699686527,7.096936703,7.642776012,7.502910137,6.936823845
"1391446_at",3.37836647,3.687631607,3.321928024,3.607042074,3.360920906,3.757458687
"1391447_at",7.955082893,7.925069809,8.238554001,8.048845291,8.240660667,8.706630707
"1391448_at",8.532884598,8.683516502,8.992635727,9.475085258,8.611517906,8.726284981
"1391449_at",3.383181334,4.515011787,4.024080276,3.394583702,3.708787203,3.733597755
"1391450_at",9.593029022,9.684719086,9.815847397,9.540932655,8.811265945,8.655994415
"1391451_at",6.343332291,6.419218063,6.583087444,6.481132984,6.306665897,6.582967758
"1391452_at",5.860925198,5.694771767,5.531887531,5.85059309,5.160187244,5.938463688
"1391453_at",6.393330097,6.237120628,5.963908195,5.877952576,5.949375153,6.36950922
"1391454_at",7.960796833,7.487841129,7.960938931,7.911795139,7.96282196,7.89214325
"1391455_at",8.016225815,7.708906174,7.884214878,8.202827454,7.771131039,7.991803169
"1391456_at",10.06966305,10.12250233,9.827943802,10.03096867,9.644032478,9.967049599
"1391457_a_at",4.463871956,5.948187828,5.472902775,6.009516716,6.255115032,6.137717724
"1391458_at",6.463477135,6.179662228,5.595530987,5.580868721,5.456963062,6.164556503
"1391459_at",6.162946701,6.839186192,6.733287811,7.169004917,7.209701061,6.682019711
"1391460_at",9.258534431,9.281252861,9.285927773,9.81330204,9.692594528,10.32302475
"1391461_at",8.137853622,8.429103851,8.306287766,8.787787437,8.515446663,8.365722656
"1391462_at",8.140821457,7.846477032,8.115833282,7.908594608,8.022584915,7.745297909
"1391463_at",7.857086182,7.546525478,8.16961956,6.858481407,8.26162529,8.920655251
"1391464_at",6.441751957,6.175496578,6.610076904,5.660552025,5.937393665,5.848018646
"1391465_at",4.436756611,4.380373478,4.132918358,4.04000473,4.093204975,3.932633877
"1391466_at",7.493589401,7.446530819,7.517116547,7.452063084,7.538166523,7.312197208
"1391467_at",6.806460857,6.320627213,6.543483734,6.576539516,6.679459095,6.74500227
"1391468_at",7.30752039,6.303521156,6.299507141,5.979221344,5.879667282,6.526846886
"1391469_at",3.37836647,3.863226652,3.528371334,3.655954838,3.360920906,3.446621895
"1391470_at",4.134037018,4.37325573,4.760946751,4.487699986,4.686435699,4.238852501
"1391471_at",3.961644888,3.655866623,3.941404104,3.9415555,3.829864979,3.838302851
"1391472_at",6.97897625,5.967235565,6.517943382,6.107362747,5.926151276,6.956690311
"1391473_at",3.783015728,4.198162556,4.259258747,4.503969193,4.502748489,4.119880676
"1391474_at",9.405776024,8.978142738,9.161258698,9.238444328,9.115693092,8.975310326
"1391475_at",9.000886917,8.923400879,8.936829567,8.939281464,9.029526711,8.837742805
"1391476_at",9.483168602,9.025438309,8.731341362,8.557723045,8.544588089,9.561779022
"1391477_at",7.48478508,6.880639553,6.951064587,6.886993408,6.450502872,6.968858719
"1391478_at",7.691218376,7.774321556,7.774116516,8.009214401,7.944804192,8.660459518
"1391479_at",6.645029068,6.20862627,6.394057751,6.719584465,6.753632545,6.812909126
"1391480_at",7.044155121,6.895125866,7.140770435,7.177130222,7.234996796,7.374806404
"1391481_at",7.775238514,7.800131321,7.675745487,8.064561844,7.997400761,7.82087183
"1391482_a_at",8.226817131,7.418147564,7.288607597,7.507430077,7.532158852,7.877577782
"1391483_at",5.523089886,6.150440216,5.56328392,5.881714821,5.80995512,5.790169716
"1391484_at",7.245601654,7.818054199,7.822188854,7.954005241,8.024281502,8.055171967
"1391485_at",7.788608074,6.277814865,6.652674198,6.071766853,6.311038017,7.126578331
"1391486_at",6.512372971,6.104989529,6.729994774,6.847629547,7.079218864,6.480019569
"1391487_at",5.7148242,5.704497337,5.710612297,5.700058937,5.747935295,5.781260967
"1391488_at",4.508934975,4.887401104,4.030869484,4.708446503,4.687361717,5.145895481
"1391489_at",6.910984993,6.143059254,6.729616642,6.406366348,6.620586872,7.716768742
"1391490_at",5.940197945,5.766329765,5.425391674,5.709673405,5.810091019,5.493079662
"1391491_a_at",8.497101784,8.125427246,8.444472313,7.649393082,8.766777992,8.694235802
"1391492_at",5.678749561,6.378871441,5.270878315,6.354006767,6.237098217,5.530035496
"1391493_at",3.883043766,4.218204498,3.75323987,4.63326931,3.360920906,3.67086482
"1391494_at",9.026123047,9.341750145,9.467254639,9.363552094,9.533116341,9.297607422
"1391495_at",9.308513641,9.120001793,8.96595192,8.947939873,8.789872169,9.251677513
"1391496_at",7.762484074,7.82896471,8.038704872,7.924555779,8.367807388,8.085923195
"1391497_at",8.781704903,8.509325981,8.941556931,8.553067207,8.745376587,8.712711334
"1391498_at",7.993541718,7.917413235,8.152666092,7.969294071,8.059031487,8.029687881
"1391499_at",5.763801575,5.718684673,5.657503605,5.592029095,5.706927776,6.051016331
"1391500_at",5.753349304,6.406557083,5.441178799,7.785167217,7.240758896,6.627822399
"1391501_at",8.215547562,7.979084969,8.021814346,7.578055382,7.641803741,7.919901848
"1391502_at",5.073035717,4.937033653,5.196284771,4.425840855,4.710412025,4.77573061
"1391503_at",5.821231842,5.978709221,5.9609375,5.967868805,6.122612953,5.956619263
"1391504_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391505_x_at",6.643440247,7.420850754,6.575307846,7.767797947,7.410375595,7.867737293
"1391506_at",6.524933338,6.120760918,6.87568903,7.001457691,7.185567856,6.837935925
"1391507_at",6.601165771,7.036683083,7.012394428,6.755008221,6.803874969,7.646509647
"1391508_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391509_at",5.368956089,5.641697407,5.021416187,5.342823982,5.50830698,5.240807533
"1391510_at",8.269124031,8.16696167,8.321893692,8.313800812,8.394665718,8.280170441
"1391511_at",5.438971043,5.240904808,5.53303051,5.71840477,5.899211884,5.405743122
"1391512_at",7.913644314,8.287550926,8.2228899,8.755648613,8.277803421,8.854212761
"1391513_at",3.554027796,3.904798985,3.742099047,3.98806262,3.367945671,4.325763226
"1391514_at",4.063973904,4.585287571,4.531926155,4.426200867,4.746479988,4.985242844
"1391515_at",4.685685635,4.702530861,4.795740128,4.356712341,4.366523743,4.387152672
"1391516_at",3.37836647,3.587954044,3.321928024,3.378549576,4.120433807,4.171902657
"1391517_at",5.332782269,5.079106808,4.954909325,5.06522274,5.124559402,5.67762661
"1391518_at",7.028885365,6.628854275,6.615077972,5.87110281,5.907640457,6.338117123
"1391519_at",6.05880928,5.510591984,5.459424496,5.555301189,5.709947109,6.203162193
"1391520_at",3.530807018,4.719150543,3.373943329,4.33484745,4.191646099,4.426027775
"1391521_at",3.977359533,4.906620502,3.876810551,4.475289822,3.894469261,4.618697643
"1391522_at",7.337740898,7.214160442,6.94252634,7.153830051,7.074284554,7.217477322
"1391523_at",6.950322628,7.366557121,7.066054821,7.575093746,7.564929485,7.347889423
"1391524_at",7.595395565,7.191737652,8.055751801,7.721097469,8.080076218,7.950241566
"1391525_at",3.682088852,3.37754631,3.506547451,3.998225689,3.793638945,4.035646439
"1391526_at",8.174343109,7.878510475,8.03872776,7.791564941,8.194864273,8.570157051
"1391527_at",9.264204979,8.749106407,8.733060837,8.941761017,8.693407059,9.280303955
"1391528_at",8.132003784,8.067276955,8.126683235,8.117010117,8.090927124,8.10178566
"1391529_at",6.385103226,6.530626774,6.169017792,6.43174696,6.478979111,6.299397945
"1391530_a_at",6.902131557,6.98532629,7.130484104,6.981347561,7.17318821,7.309587955
"1391531_at",4.628081799,4.2266922,4.56909132,3.378549576,3.63499403,3.655723333
"1391532_at",8.362485886,8.509497643,8.311470032,8.45445919,8.160270691,8.022099495
"1391533_at",4.770733833,4.450260639,4.27903223,4.733899593,4.016511917,4.393981457
"1391534_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391535_at",5.930713654,5.225976467,5.110443115,5.402232647,6.019508839,5.847984791
"1391536_at",6.610053539,6.541775703,6.746718407,6.799283981,7.05836916,6.843393803
